nombre;descripcion;color;tipo_iniciativa;tipo_obra;region;provincia;comuna;volumen;presupuesto_oficial;fecha_llamado_licitacion;fecha_recepcion_ofertas_tecnicas;fecha_apertura_ofertas_economicas;fecha_inicio_concesion;plazo_total_concesion;decreto_adjudicacion;sociedad_concesionaria;valor_referencia;bip;inspector_fiscal_id;carpetas_iniciales
Cartera de proyectos;Etapa de inicio de proyecto;#3498DB;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;false;false;"Desarrollo de Proyectos,División Participación Medio Ambiente y Territorio,Jurídica,Ingeniería,División de Administración y Finanzas,División de Estudios y Análisis Financiero,Expropiaciones"
Proyectos en Licitación;Proceso de licitación;#F1C40F;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;"Proyecto en Licitación (Proyecto de Licitación,Proyecto de Adjudicación)"
Concesiones en Construcción;-;#E74C3C;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;"Coordinación Técnica (SIAC,Contratos de Asesorías,Otros)"
Concesiones en Operación;-;#2ECC71;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;"Proyectos OPS,Obras"
Concesiones en Operación y Construcción;-;#9B59B6;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;"Modificaciones de Contrato"
Concesiones Finalizadas;-;#7F8C8D;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;"Concesiones Finalizadas" 
